   distribution,     param_name,         param_value,         n,           kappa_mad
         pareto,          alpha,                1.25,         2,          0.82888526
         pareto,          alpha,                1.25,        30,          0.79917579
         pareto,          alpha,                1.25,       100,          0.79047842
         pareto,          alpha,                1.25,      1000,          0.77924738
         pareto,          alpha,                1.25,   1000000,          0.76515151
         pareto,          alpha,                 1.5,         2,          0.72370888
         pareto,          alpha,                 1.5,        30,          0.66012933
         pareto,          alpha,                 1.5,       100,          0.63895561
         pareto,          alpha,                 1.5,      1000,          0.60837604
         pareto,          alpha,                 1.5,   1000000,          0.56137528
         pareto,          alpha,                1.75,         2,          0.64961051
         pareto,          alpha,                1.75,        30,          0.56028893
         pareto,          alpha,                1.75,       100,          0.52922921
         pareto,          alpha,                1.75,      1000,          0.48216321
         pareto,          alpha,                1.75,   1000000,          0.39972315
         pareto,          alpha,                   2,         2,          0.59420658
         pareto,          alpha,                   2,        30,          0.48657143
         pareto,          alpha,                   2,       100,          0.44890216
         pareto,          alpha,                   2,      1000,          0.39121051
         pareto,          alpha,                   2,   1000000,          0.28633986
         pareto,          alpha,                2.25,         2,          0.55112478
         pareto,          alpha,                2.25,        30,            0.430686
         pareto,          alpha,                2.25,       100,          0.38899829
         pareto,          alpha,                2.25,      1000,          0.32573434
         pareto,          alpha,                2.25,   1000000,           0.2138283
         pareto,          alpha,                 2.5,         2,          0.51664037
         pareto,          alpha,                 2.5,        30,          0.38728756
         pareto,          alpha,                 2.5,       100,          0.34337719
         pareto,          alpha,                 2.5,      1000,          0.27797707
         pareto,          alpha,                 2.5,   1000000,          0.16858592
         pareto,          alpha,                2.75,         2,          0.48840591
         pareto,          alpha,                2.75,        30,          0.35285648
         pareto,          alpha,                2.75,       100,          0.30790171
         pareto,          alpha,                2.75,      1000,          0.24244651
         pareto,          alpha,                2.75,   1000000,          0.13952275
         pareto,          alpha,                   3,         2,          0.46486163
         pareto,          alpha,                   3,        30,          0.32501959
         pareto,          alpha,                   3,       100,          0.27977133
         pareto,          alpha,                   3,      1000,          0.21542256
         pareto,          alpha,                   3,   1000000,          0.11985721
         pareto,          alpha,                3.25,         2,          0.44492843
         pareto,          alpha,                3.25,        30,            0.302138
         pareto,          alpha,                3.25,       100,          0.25706431
         pareto,          alpha,                3.25,      1000,           0.1944134
         pareto,          alpha,                3.25,   1000000,          0.10582524
         pareto,          alpha,                 3.5,         2,          0.42783515
         pareto,          alpha,                 3.5,        30,          0.28305384
         pareto,          alpha,                 3.5,       100,          0.23843895
         pareto,          alpha,                 3.5,      1000,          0.17774103
         pareto,          alpha,                 3.5,   1000000,          0.09534705
         pareto,          alpha,                3.75,         2,          0.41301578
         pareto,          alpha,                3.75,        30,          0.26693152
         pareto,          alpha,                3.75,       100,          0.22294111
         pareto,          alpha,                3.75,      1000,          0.16426013
         pareto,          alpha,                3.75,   1000000,         0.087230788
         pareto,          alpha,                   4,         2,          0.40004536
         pareto,          alpha,                   4,        30,           0.2531561
         pareto,          alpha,                   4,       100,          0.20987978
         pareto,          alpha,                   4,      1000,          0.15317529
         pareto,          alpha,                   4,   1000000,         0.080758474
      student_t,          alpha,                1.25,         2,          0.79205996
      student_t,          alpha,                1.25,        30,          0.77606141
      student_t,          alpha,                1.25,       100,          0.77138257
      student_t,          alpha,                1.25,      1000,          0.76535068
      student_t,          alpha,                1.25,   1000000,          0.75770455
      student_t,          alpha,                 1.5,         2,          0.64719379
      student_t,          alpha,                 1.5,        30,          0.60344789
      student_t,          alpha,                 1.5,       100,          0.58908419
      student_t,          alpha,                 1.5,      1000,          0.56867943
      student_t,          alpha,                 1.5,   1000000,          0.53846096
      student_t,          alpha,                1.75,         2,          0.54277499
      student_t,          alpha,                1.75,        30,           0.4749924
      student_t,          alpha,                1.75,       100,          0.45157477
      student_t,          alpha,                1.75,      1000,           0.4164684
      student_t,          alpha,                1.75,   1000000,          0.35633826
      student_t,          alpha,                   2,         2,          0.46508689
      student_t,          alpha,                   2,        30,          0.38075447
      student_t,          alpha,                   2,       100,          0.35141448
      student_t,          alpha,                   2,      1000,           0.3069808
      student_t,          alpha,                   2,   1000000,          0.22889787
      student_t,          alpha,                2.25,         2,          0.40554421
      student_t,          alpha,                2.25,        30,          0.31133541
      student_t,          alpha,                2.25,       100,          0.27914401
      student_t,          alpha,                2.25,      1000,          0.23111925
      student_t,          alpha,                2.25,   1000000,          0.14977124
      student_t,          alpha,                 2.5,         2,           0.3587768
      student_t,          alpha,                 2.5,        30,          0.25964761
      student_t,          alpha,                 2.5,       100,          0.22684427
      student_t,          alpha,                 2.5,      1000,           0.1794405
      student_t,          alpha,                 2.5,   1000000,          0.10699962
      student_t,          alpha,                2.75,         2,          0.32122573
      student_t,          alpha,                2.75,        30,          0.22047842
      student_t,          alpha,                2.75,       100,          0.18839528
      student_t,          alpha,                2.75,      1000,          0.14377239
      student_t,          alpha,                2.75,   1000000,         0.084705275
      student_t,          alpha,                   3,         2,          0.29049016
      student_t,          alpha,                   3,        30,          0.19026181
      student_t,          alpha,                   3,       100,          0.15959526
      student_t,          alpha,                   3,      1000,          0.11846046
      student_t,          alpha,                   3,   1000000,         0.063454915
      student_t,          alpha,                3.25,         2,          0.26494035
      student_t,          alpha,                3.25,        30,          0.16652192
      student_t,          alpha,                3.25,       100,          0.13758292
      student_t,          alpha,                3.25,      1000,           0.1000544
      student_t,          alpha,                3.25,   1000000,         0.051838226
      student_t,          alpha,                 3.5,         2,          0.24343265
      student_t,          alpha,                 3.5,        30,          0.14763446
      student_t,          alpha,                 3.5,       100,          0.12054832
      student_t,          alpha,                 3.5,      1000,          0.08659712
